studentno,413-GE-KG,420-GE-KG,420-SE-KG,420-SN-KG,435-GE-KG,456-GE-KG,456-SB-KG,618-SN-KG,618-SE-KG,449-FB-KG,449-GE-KG,625-GE-KG,603-SB-KG,603-GE-KG,872-CB-KG,872-GE-KG,509-CE-KG,509-CN-KG,478-GE-KG,478-JE-KG,478-JN-KG,481-SB-KG,481-GE-KG,525-GE-KG,507-GE-KG,521-GE-KG,539-GE-KG,680-SN-KG,680-GE-KG,680-SE-KG,562-CN-KG,562-CE-KG,562-GE-KG,575-SB-KG,575-GE-KG,589-GE-KG,593-SB-KG,593-GE-KG,453-GE-KG,453-SE-KG,453-SN-KG,614-SB-KG,614-CB-KG,614-GE-KG,537-SE-KG,537-SN-KG,644-GE-KG,544-GE-KG,838-GE-KG,838-ME-KG,838-MN-KG,664-GE-KG,670-GE-KG,490-CB-KG,490-GE-KG,676-GE-KG,476-NC-KG,479-GE-KG,479-KE-KG,479-KN-KG,691-FB-KG,691-SB-KG,691-GE-KG,830-GE-KG,714-SE-KG,714-SN-KG,549-GE-KG,718-GE-KG,505-GE-KG,722-GE-KG,724-NS-KG,729-CB-KG,729-GE-KG,729-SE-KG,729-SN-KG,723-CB-KG,723-GE-KG,723-SB-KG,650-SB-KG,650-GE-KG,735-GE-KG,746-GE-KG,746-ME-KG,746-MN-KG,638-CB-KG,638-GE-KG,786-JE-KG,786-GE-KG,786-JN-KG,569-GE-KG,790-GE-KG,760-SN-KG,760-GE-KG,760-SE-KG,796-GE-KG,816-SB-KG,816-GE-KG,656-SB-KG,656-GE-KG,493-GE-KG,814-GE-KG,820-GE-KG,823-GE-KG,488-GE-KG,834-CB-KG,834-GE-KG,834-SB-KG,782-GE-KG,842-GE-KG,750-GE-KG,848-CB-KG,848-GE-KG,513-CB-KG,513-SB-KG,513-GE-KG,859-GE-KG,862-CB-KG,862-GE-KG,867-CB-KG,867-GE-KG,497-SN-KG,497-GE-KG,497-SE-KG,876-CE-KG,876-CN-KG,876-GE-KG,801-GE-KG,485-CE-KG,485-CT-KG
2324-1001696,-3.487041,-1.59969,-1.946581,-inf,-2.676903,-4.992229,-inf,-inf,-3.828085,-inf,-5.533279,-6.492902,-inf,-4.335805,-inf,-6.20247,-3.846372,-inf,-0.593902,-1.349062,-inf,-inf,-3.466386,-5.654369,-5.713988,-4.902292,-1.538055,-inf,-4.217989,-4.564879,-inf,-8.935091,-7.470441,-inf,-1.774161,-1.843841,-inf,-3.636468,-6.509593,-6.856483,-inf,-inf,-inf,-3.961903,-2.713558,-inf,-1.939776,-2.479565,-5.543284,-6.114679,-inf,-3.426497,-2.184824,-inf,-6.182123,-1.479078,-inf,-2.995203,-5.628417,-inf,-inf,-inf,-2.888903,-6.718568,-5.147461,-inf,-3.86849,-2.883655,-3.397898,-0.061347,-inf,-inf,-2.754905,-3.101795,-inf,-inf,-4.761461,-inf,-inf,-5.375935,-3.149944,-1.756167,-2.327561,-inf,-inf,-7.235729,-6.531191,-5.776031,-inf,-2.574275,-6.571562,-inf,-5.060649,-5.407539,-1.451658,-inf,-4.536576,-inf,-3.723251,-2.623749,-5.093307,-2.693471,-5.139995,-0.376365,-inf,-7.193142,-inf,-2.018895,1.307752,-0.990629,-inf,-5.007994,-inf,-inf,-4.763611,-6.224537,-inf,-1.242593,-inf,-5.115179,-inf,-5.276319,-5.623209,-1.703131,-inf,-0.238481,-6.054384,-3.058658,-inf
2324-1001697,-4.066412,-2.837731,-3.553955,-1.27969,-3.302676,-6.257737,-4.32674,-3.21606,-5.490325,-inf,-6.8167,-7.527181,-3.696307,-5.627304,-inf,-7.450866,-4.95235,-inf,-1.547911,-2.576813,-inf,-2.29611,-4.227107,-6.747005,-6.752486,-5.688258,-1.4398,-3.923959,-5.482,-6.198224,-inf,-10.17279,-8.701331,-1.058621,-2.989617,-2.890414,-1.924784,-3.85578,-7.319794,-8.036018,-5.761753,-3.060274,-inf,-4.99127,-4.339664,-2.0654,-2.46646,-2.457603,-6.804149,-7.1955,-inf,-3.749721,-1.538262,-inf,-7.423649,-1.678936,-inf,-3.904762,-5.758208,-inf,-inf,-0.761511,-2.692508,-7.778772,-6.794308,-4.520043,-4.685598,-4.071407,-4.622147,-1.272187,-3.975376,-inf,-3.712728,-4.428952,-2.154687,-inf,-6.053522,-4.122525,-4.659437,-6.590433,-4.167451,15.161381,14.77003,-inf,-inf,-8.462286,-7.981103,-6.952201,-inf,-3.395558,-7.785752,-4.676331,-6.234372,-6.950596,-2.623788,-3.848779,-5.779776,-2.994765,-4.925762,-3.600195,-6.21852,-0.791341,-6.29848,-0.195889,-inf,-8.397699,-6.466702,-1.949297,-1.068457,-0.848499,-inf,-5.741826,-inf,-3.819862,-5.750859,-7.456982,-inf,-0.729664,-inf,-5.73678,-4.997797,-6.555838,-7.272062,-2.348472,-inf,-0.877014,-7.249353,-3.711794,-inf
2324-1001698,-0.745221,-3.669006,-4.38523,-2.110965,-0.54443,-7.838728,-5.907731,-4.500813,-6.775078,-inf,-7.018951,-10.181368,-4.94068,-6.871676,-inf,-6.769868,-4.305278,-inf,-1.680048,-2.708949,-inf,-5.779171,-7.710168,-5.352461,-9.450149,-9.042229,-1.819537,-5.668959,-7.226999,-7.943223,-inf,-9.278251,-7.806793,-3.734246,-5.665242,-2.447449,-5.94583,-7.876827,-10.560429,-11.276653,-9.002388,-6.001747,-inf,-7.932744,-6.47638,-4.202115,-0.378446,2.233506,-8.346049,-8.7374,-inf,0.271143,-3.162304,-inf,-6.765435,0.9414,-inf,-1.72237,-3.575815,-inf,-inf,-4.980645,-6.911642,-10.314292,-7.227203,-4.952938,-2.619581,-3.942615,-5.077531,-3.29088,-5.91852,-inf,-6.915316,-7.63154,-5.357276,-inf,-7.19519,-5.264193,-4.373337,-6.304334,-2.999714,-4.750655,-5.142005,-inf,-inf,-7.613975,-7.153586,-6.124684,-inf,-0.983626,-7.017987,-7.070983,-8.629024,-9.345248,-3.158389,-4.160642,-6.091638,-5.396081,-7.327077,-6.787017,-4.849715,-6.233402,-4.994696,-2.53371,-inf,-7.463011,-5.532014,-0.257286,-3.998433,1.503814,-inf,-2.994118,-inf,-6.759205,-8.690202,-7.018492,-inf,-0.196323,-inf,-9.349917,-6.193017,-7.751057,-8.467281,-3.345126,-inf,-1.873667,-6.094031,-2.537159,-inf
2324-1001699,-4.544958,-2.373212,-3.089436,-inf,-3.906662,-3.53911,-inf,-inf,10.729179,-inf,-4.397741,-3.301785,-inf,-3.592056,-inf,-4.843945,-4.478453,-inf,-2.215246,-3.244148,-inf,-inf,-3.196962,-5.67682,-2.806033,-1.017991,-3.782765,-inf,-3.158083,-3.874307,-inf,-7.666562,-6.195104,-inf,-2.674505,-2.882906,-inf,-3.445909,-2.881888,-3.598112,-inf,-inf,-inf,-2.90122,-2.965132,-inf,-3.563359,-4.22152,-3.804134,-4.195485,-0.372324,-4.730345,-4.398315,-inf,-5.053711,-3.288184,-inf,-3.536922,-5.390368,-inf,-inf,-inf,-3.667713,-3.498203,-5.011245,-inf,-4.879079,-3.250974,-3.946452,-2.115095,-inf,-inf,-2.868219,-3.584443,-inf,-inf,-3.890349,-inf,-inf,-5.265753,-3.869556,-3.716268,-4.107619,-0.284457,-inf,-6.146086,-6.580935,-5.552034,-inf,-3.361429,-5.857901,-inf,-3.790696,-4.50692,-2.509423,-inf,-4.675477,-inf,-3.209824,-2.941456,-4.821791,-4.354331,-4.539772,-2.807861,-inf,-6.407848,-inf,-4.007688,-2.078768,-2.886719,-inf,-5.914161,-inf,-inf,-2.4485,-5.629531,-inf,-3.252878,-inf,-2.636934,-inf,-3.519503,-4.235727,-3.959618,-inf,-2.488159,-5.095263,-4.765964,-inf
2324-1001700,-3.196802,-1.05884,-1.775064,-inf,-2.379779,-4.526092,-inf,-inf,-3.679904,-inf,-4.993034,-6.219648,-inf,-3.824572,-inf,-5.657703,-3.35582,-inf,-0.205321,-1.234222,-inf,-inf,-3.508064,-5.150647,-5.447365,-4.823694,-1.676367,-inf,-3.758281,-4.474505,-inf,-8.398714,-6.927255,-inf,-1.479552,-1.377387,-inf,-3.909794,-6.381028,-7.097252,-inf,-inf,-inf,-3.762066,-2.651272,-inf,-1.714968,-2.470903,-5.080787,-5.472138,-inf,-3.247099,-2.519227,-inf,-5.637894,-1.398192,-inf,-2.563479,-4.416924,-inf,-inf,-inf,-3.324029,-6.422775,-4.973955,-inf,-3.487645,-2.353989,-2.85939,1.514182,-inf,-inf,-2.689973,-3.406197,-inf,-inf,-4.247461,-inf,-inf,-4.837211,-2.684095,-2.29076,-2.682111,-inf,-inf,-6.69325,-6.274919,-5.246017,-inf,-2.182371,-6.031553,-inf,-4.710009,-5.426233,-0.936216,-inf,-3.993161,-inf,-3.360253,-2.562803,-4.577145,-3.233135,-4.612896,-0.698131,-inf,-6.654833,-inf,-2.067984,1.149381,-1.04914,-inf,-4.653115,-inf,-inf,-4.557467,-5.681722,-inf,-1.463606,-inf,-5.129094,-inf,-4.786816,-5.50304,-1.606893,-inf,-0.135434,-5.517672,-2.807005,-inf
2324-1001701,-1.373061,-2.566389,-2.913279,-inf,-0.958381,-6.216304,-inf,-inf,-5.030077,-inf,-5.834652,-7.941996,-inf,-5.463979,-inf,-5.719643,-2.17245,-inf,-0.841604,-2.075334,-inf,-inf,-5.60163,-4.959028,-7.292737,-6.739781,-0.338789,-inf,-5.620771,-5.967661,-inf,-6.727646,-6.834281,-inf,-3.925542,-1.844979,-inf,-5.543389,-8.084478,-8.431368,-inf,-inf,-inf,-5.950191,-4.477815,-inf,-0.436112,0.546532,-6.676818,-7.319597,-inf,-0.740768,-1.263835,-inf,-5.798308,0.811776,-inf,-1.748343,-3.868581,-inf,-inf,-inf,-4.613958,-8.069686,-5.745801,-inf,-2.694084,-3.15964,-4.096715,-1.806809,-inf,-inf,-4.94154,-5.28843,-inf,-inf,-5.799201,-inf,-inf,-5.503307,-2.662189,-2.620322,-3.263102,-inf,-inf,-6.705224,-6.713961,-5.480232,-inf,-1.161842,-6.218632,-inf,-6.801163,-7.148053,-2.179667,-inf,-5.119404,-inf,-5.574542,-4.834768,-4.362498,-4.045049,-4.378873,-0.77607,-inf,-6.68515,-inf,1.726755,-2.236206,16.578586,-inf,-3.339281,-inf,-inf,-6.579592,-6.158219,-inf,2.688719,-inf,-6.942859,-inf,-6.158834,-6.505724,-0.512983,-inf,-0.619618,-5.306287,-0.597969,-inf
2324-1001702,-0.214798,-1.759654,-2.106544,-inf,0.358338,-5.556991,-inf,-inf,-4.223883,-inf,-4.201408,-8.231426,-inf,-4.575995,-inf,-3.852891,-1.642365,-inf,-0.444679,-1.19984,-inf,-inf,-6.781589,-2.460864,-7.600418,-7.706541,-2.752085,-inf,-5.127624,-5.474514,-inf,-6.375484,-4.910835,-inf,-4.555256,-0.277768,-inf,-7.344878,-8.971087,-9.317977,-inf,-inf,-inf,-6.549582,-4.462027,-inf,-0.237438,-1.563862,-5.982544,-6.553939,-inf,-0.93771,-4.270962,-inf,-3.842731,-0.510115,-inf,0.831685,-1.801529,-inf,-inf,-inf,-6.74663,-8.266118,-4.235705,-inf,0.905899,-1.372539,-2.874047,-2.475033,-inf,-inf,-5.889977,-6.236867,-inf,-inf,-4.813605,-inf,-inf,-3.507407,-0.183036,-5.19841,-5.769805,-inf,-inf,-4.704483,-3.958992,-3.203832,-inf,1.257443,-4.093842,-inf,-6.872814,-7.219704,-1.335722,-inf,-3.621149,-inf,-5.730699,-5.793222,-1.980809,-6.423444,-2.138655,-2.949759,-inf,-4.551429,-inf,-2.012672,-3.405096,-0.75506,-inf,-1.344489,-inf,-inf,-7.121231,-4.118627,-inf,-2.165386,-inf,-8.207872,-inf,-5.208015,-5.554905,-3.1069,-inf,-1.64225,-3.229078,-1.92729,-inf
2324-1001703,-2.212323,-2.517555,-2.864445,-inf,-1.530458,-6.565667,-inf,-inf,-5.188426,-inf,-6.462733,-8.498103,-inf,-5.70721,-inf,-6.757974,-3.987078,-inf,-0.63117,-1.386331,-inf,-inf,-5.614906,-5.622338,-7.728999,-7.045325,1.601173,-inf,-5.842535,-6.189425,-inf,-9.381052,-7.916403,-inf,-3.764017,-1.912931,-inf,-5.635948,-8.638606,-8.985496,-inf,-inf,-inf,-6.040072,-4.476847,-inf,-0.683297,-0.433309,-7.115604,-7.686999,-inf,-1.74397,-1.011052,-inf,-6.71689,0.334451,-inf,-2.436802,-5.070017,-inf,-inf,-inf,-4.617801,-8.6909,-6.099537,-inf,-3.150414,-3.374776,-4.15526,-1.44346,-inf,-inf,-4.890867,-5.237757,-inf,-inf,-6.095758,-inf,-inf,-5.905782,-2.993761,-2.446277,-3.017671,-inf,-inf,-7.677051,-6.826319,-6.071159,-inf,-1.814829,-6.990516,-inf,-6.962571,-7.309461,-2.094085,-inf,-5.313348,-inf,-5.615785,-4.758992,-5.144086,-3.922251,-5.287852,-0.236401,-inf,-7.546534,-inf,0.074512,-1.919088,1.132261,-inf,-4.048148,-inf,-inf,-6.839847,-6.77662,-inf,0.771594,-inf,-7.261825,-inf,-6.704004,-7.050894,-1.54749,-inf,-0.08284,-6.332924,-2.148783,-inf
2324-1001704,-5.225751,-2.905354,-2.422612,-inf,-4.412515,-5.389976,-inf,-inf,-3.794538,-inf,-6.411128,-5.993126,-inf,-5.04458,-inf,-7.233877,-5.32822,-inf,-2.268369,-3.023529,-inf,-inf,-2.763678,-7.091595,-5.257964,-3.955695,-3.095338,-inf,-4.663292,-4.180549,-inf,-10.029359,-8.564709,-inf,-2.465175,-3.41167,-inf,-0.826534,-5.545337,-5.062594,-inf,-inf,-inf,-3.697943,-2.454087,-inf,-3.686066,-4.12022,-5.879105,-6.4505,-inf,-5.164609,-3.408574,-inf,-7.254528,-3.182957,-inf,-4.613763,-7.246977,-inf,-inf,-inf,13.815462,-6.269974,-5.307127,-inf,-5.551838,-4.225547,-4.697937,-1.666115,-inf,-inf,-2.587507,-2.104764,-inf,-inf,-5.464209,-inf,-inf,-6.614242,-4.710235,-2.263145,-2.83454,-inf,-inf,-8.355795,-7.831706,-7.076545,-inf,-4.246345,-7.753093,-inf,-5.143238,-4.660496,-2.906455,-inf,-5.736599,-inf,-4.017735,-2.565549,-6.468279,-2.744394,-6.441031,-1.798298,-inf,-8.391192,-inf,-3.624211,-1.229004,-2.571985,-inf,-6.713703,-inf,-inf,-4.257392,-7.370369,-inf,-2.596015,-inf,-3.890787,-inf,-5.723373,-5.24063,-3.445036,-inf,-1.980386,-7.26098,-4.801148,-inf
2324-1001705,-4.335985,-2.972134,-3.688357,-1.414093,-3.886697,-3.857756,-1.926759,-1.861726,-4.135991,-inf,-1.470462,-6.205347,-1.680143,-3.61114,-inf,-1.241761,-3.792175,-inf,-3.133509,-4.162411,-inf,-5.241461,-7.172458,-3.733033,-5.969584,-7.006192,-5.99825,-2.548968,-4.107009,-4.823233,-inf,-4.182822,-2.711363,-3.45191,-5.382907,-2.87554,-6.065172,-7.996169,-7.480287,-8.196511,-5.922246,-4.411892,-inf,-6.342889,-4.922873,-2.648609,-4.22872,-5.661446,-3.815386,-4.206737,-inf,-5.171325,-7.271409,-inf,-1.572704,-4.502653,-inf,-2.351159,-4.204605,-inf,-inf,-6.030634,-7.961631,-5.968105,-3.708182,-1.433918,-4.454067,-2.535768,-3.981082,-4.262318,-4.920396,-inf,-6.370357,-7.086581,-4.812316,-inf,-3.568775,-1.637778,-1.742179,-3.673176,-3.116166,-7.348326,-7.739677,-inf,-inf,-2.744255,-4.406141,-3.377239,-inf,-2.572225,-2.891415,-4.622163,-6.180204,-6.896428,-3.09322,-2.16084,-4.091836,-3.67132,-5.602317,-6.369492,-2.432528,-8.221649,-1.71309,-5.557431,-inf,-3.328492,-1.397496,-5.79656,-4.940264,-4.673006,-inf,-5.348221,-inf,-4.325583,-6.25658,-3.023215,-inf,-5.751948,-inf,-7.724847,-0.895989,-2.454029,-3.170253,-5.832573,-inf,-4.361115,-1.88552,-5.558367,-inf
2324-1001706,-0.727443,-1.444575,-2.160799,-inf,0.08681,-5.598535,-inf,-inf,-4.537166,-inf,-4.886328,-8.021682,-inf,-4.627173,-inf,-4.931453,-2.203933,-inf,0.459662,-0.569239,-inf,-inf,-5.951542,-3.685097,-7.315313,-7.107067,-1.407644,-inf,-5.007949,-5.724173,-inf,-7.521787,-6.050329,-inf,-3.769315,-0.231942,-inf,-6.367973,-8.531457,-9.247681,-inf,-inf,-inf,-5.949619,-4.363697,-inf,0.645582,-0.708874,-6.1014,-6.49275,-2.669589,-0.869704,-2.922714,-inf,-4.896674,0.476117,-inf,-0.503805,-2.35725,-inf,-inf,-inf,-5.637479,-8.129715,-5.017628,-inf,-1.235829,-1.75675,-2.831501,-1.492033,-inf,-inf,-5.091562,-5.807786,-inf,-inf,-4.949027,-inf,-inf,-4.203529,-1.078176,-3.921456,-4.312806,-0.489645,-inf,-5.819633,-5.250432,-4.221531,-inf,0.06312,-5.150325,-inf,-6.501342,-7.217565,-0.932431,-inf,-3.864384,-inf,-5.242396,-4.97608,-3.211206,-5.205165,-3.363279,-1.640432,-inf,-5.674581,-inf,-0.831928,-2.375471,0.319921,-inf,-2.279437,-inf,-inf,-6.646156,-5.01571,-inf,-0.910416,-inf,-7.512477,-inf,-5.510444,-6.226668,-1.862075,-inf,-0.390617,-4.427322,0.524848,-inf
2324-1001707,-0.136145,-1.770602,-2.486825,-0.212561,0.488838,-5.627009,-3.696013,-2.371944,-4.646209,-inf,-4.332564,-8.280547,-2.711617,-4.642614,-inf,-4.011643,-1.733369,-inf,-0.374198,-1.4031,-inf,-4.819477,-6.750474,-2.621861,-7.639813,-7.708367,-2.612201,-3.620467,-5.178508,-5.894731,-inf,-6.542784,-5.071326,-2.594264,-4.525261,-0.279157,-5.363456,-7.294453,-8.994669,-9.710893,-7.436628,-4.616707,-inf,-6.547703,-4.840272,-2.566007,-0.078123,-1.404446,-6.062089,-6.45344,-inf,-0.813627,-4.135265,-inf,-4.000135,-0.349193,-inf,0.711064,-1.142382,-inf,-inf,-4.743768,-6.674765,-8.323763,-4.705697,-2.431433,0.993895,-1.454043,-2.912524,-2.413901,-4.351097,-inf,-5.861662,-6.577886,-4.303622,-inf,-4.889791,-2.958794,-1.699489,-3.630486,-0.293639,-5.092806,-5.484157,-inf,-inf,-4.864215,-4.38496,-3.356059,-inf,1.210797,-4.250498,-5.339321,-6.897362,-7.613586,-1.329275,-1.764655,-3.695652,-3.808433,-5.73943,-5.762069,-2.141747,-6.33096,-2.299532,-2.834494,-inf,-4.711079,-2.780082,-1.854355,-3.341249,-0.594267,-inf,-1.321191,-inf,-5.205862,-7.136858,-4.26424,-inf,-2.009792,-inf,-8.198002,-3.748386,-5.306427,-6.022651,-3.008942,-inf,-1.537484,-3.390089,-1.797179,-inf
2324-1001708,-4.785837,-2.618631,-3.334855,-inf,-3.975835,-5.367462,-inf,-inf,-4.852312,-inf,-6.276652,-6.216143,-inf,-4.933588,-inf,-7.064758,-5.008494,-inf,-1.864832,-2.893734,-inf,-inf,-2.877086,-6.787024,-5.458994,-4.262812,-2.609394,-inf,-4.614952,-5.331176,-inf,-9.848584,-8.377125,-inf,-2.245765,-3.05254,-inf,-2.421094,-5.883948,-6.600172,-inf,-inf,-inf,-3.77904,-3.534062,-inf,-3.231676,-3.634956,-5.88004,-6.271391,-inf,-4.696232,-2.938796,-inf,-7.07077,-2.704183,-inf,-4.241278,-6.094724,-inf,-inf,-inf,-0.582294,-6.484785,-6.32892,-inf,-5.148507,-3.94217,-4.419799,-1.271347,-inf,-inf,-2.549013,-3.265237,-inf,-inf,-5.359379,-inf,-inf,-6.367838,-4.357745,-1.839947,-2.231298,-inf,-inf,-8.158441,-7.844611,-6.815709,-inf,-3.849357,-7.533066,-inf,-5.169823,-5.886047,-2.577852,-inf,-5.493169,-inf,-3.966112,-2.484123,-6.186416,-2.350761,-6.185378,-1.312945,-inf,-8.1677,-inf,-3.138365,-0.820878,-2.086111,-inf,-6.298743,-inf,-inf,-4.445078,-7.157732,-inf,12.391329,-inf,-4.271792,-inf,-5.702469,-6.418693,-2.99087,-inf,-1.519412,-7.037415,-4.363674,-inf
2324-1001709,-2.830976,-0.683061,-1.399285,-inf,-2.0137,-4.376237,-inf,-inf,-3.447127,-inf,-4.677629,-6.27836,-inf,-3.600343,-inf,-5.296224,-2.935044,-inf,0.18686,-0.842041,-inf,-inf,-3.830588,-4.732182,-5.518903,-5.04845,-1.640891,-inf,-3.628056,-4.344279,-inf,-8.02506,-6.553601,-inf,-1.671264,-0.954735,-inf,-4.307321,-6.556845,-7.273069,-inf,-inf,-inf,-3.928143,-2.600524,-inf,-1.396475,-2.284307,-4.931567,-5.322918,-inf,-2.941717,-2.636199,-inf,-5.270978,-1.170284,-inf,-2.144722,-3.998167,-inf,-inf,-inf,-3.747191,-6.457576,-4.64923,-inf,-3.085019,-1.952594,-2.474356,16.126791,-inf,-inf,-2.974657,-3.690881,-inf,-inf,-4.014226,-inf,-inf,-4.450737,-2.261177,-2.625166,-3.016517,-inf,-inf,-6.316696,-5.873718,-4.844817,-inf,-1.774549,-5.647424,-inf,-4.726445,-5.442669,-0.521792,-inf,-3.624972,-inf,-3.386237,-2.856703,-4.164384,-3.623328,-4.208512,-0.844717,-inf,-6.266505,-inf,-1.936903,-0.391488,-0.91708,-inf,-4.258726,-inf,-inf,-4.694844,-5.307541,-inf,-1.462448,-inf,-5.408273,-inf,-4.590534,-5.306758,-1.453709,-inf,0.017749,-5.126013,-2.476327,-inf
2324-1001710,-4.879163,-1.94546,-2.661684,-0.387419,-4.07716,-3.571854,-1.640857,-1.190079,-3.464344,-inf,-4.754459,-4.291181,-1.477273,-3.40827,-inf,-5.622327,-4.391693,-inf,-1.898109,-2.92701,-inf,-0.74416,-2.675156,-5.959989,-3.514727,-2.853557,-3.715675,-1.353469,-2.91151,-3.627734,-inf,-8.467385,-6.995927,0.017934,-1.913062,-2.682796,-1.512616,-3.443612,-4.332244,-5.048468,-2.774204,1.164142,-inf,-0.766855,-2.256146,0.018119,-3.577074,-4.504864,-4.026321,-4.417672,-inf,-5.122757,-4.414368,-inf,-5.687862,-3.399421,-inf,-3.810097,-5.663543,-inf,-inf,-1.696066,-3.627063,-4.540643,-5.000696,-2.726432,-4.980221,-3.110577,-3.63248,-1.574103,-2.476601,-inf,-2.121933,-2.838157,-0.563893,-inf,-3.798535,-1.867539,-3.379146,-5.310142,-3.868257,-3.658014,-4.049365,-inf,-inf,-6.820763,-6.81524,-5.786338,-inf,-3.597756,-6.302394,-1.745902,-3.303943,-4.020167,-2.123152,-2.554258,-4.485255,-0.509744,-2.440741,-2.206563,-5.22802,-4.270823,-5.090375,-2.611502,-inf,-6.941327,-5.01033,-4.119675,-1.536621,-3.101079,-inf,-6.180922,-inf,-0.598639,-2.529635,-5.917167,-inf,-3.468573,-inf,-3.367938,-2.328622,-3.886663,-4.602887,-3.644685,-inf,-2.173227,-5.796209,-4.651273,-inf
2324-1001711,-4.716928,-2.546191,-3.262415,-inf,-4.115443,-3.132601,-inf,-inf,-3.70036,-inf,-3.862389,-1.152007,-inf,-3.378141,-inf,-4.219619,-4.486409,-inf,-2.555154,-3.584056,-inf,-inf,-4.089011,-5.46953,-2.371735,-3.172243,-4.427507,-inf,-2.998166,-3.71439,-inf,-7.069119,-5.597661,-inf,-3.274097,-3.029466,-inf,-4.482308,-3.070626,-3.78685,-inf,-inf,-inf,-3.522012,-3.256483,-inf,-3.905354,-4.722812,-3.241634,-3.632985,-inf,-5.032833,-5.167054,-inf,-4.494039,-3.745643,-inf,-3.500934,-5.354379,-inf,-inf,-inf,-4.669813,-1.295211,-4.728048,-inf,-4.996472,-3.206102,-4.011942,-2.671944,-inf,-inf,-3.638077,-4.354301,-inf,-inf,-3.599481,-inf,-inf,-5.051534,-3.892489,-4.61483,-5.006181,-inf,-inf,-5.598887,-6.303187,-5.274285,-inf,-3.409874,-5.42367,-inf,-3.952556,-4.66878,-2.72314,-inf,-4.598268,-inf,-3.55219,-3.702735,-4.52195,-5.290398,-4.139868,-3.544515,-inf,-5.950421,-inf,-4.576662,-2.78619,-3.455224,-inf,-6.011336,-inf,-inf,-2.938895,-5.242915,-inf,-3.953898,-inf,-3.730222,-inf,-2.861561,-3.577785,-4.511579,-inf,-3.04012,-4.589876,-5.121031,-inf
2324-1001712,-1.534459,-2.963694,-3.679918,-inf,-0.986295,-7.118673,-inf,-inf,-6.068187,-inf,-6.703822,-9.245041,-inf,-6.200533,-5.130744,-6.781318,-4.055661,-1.769719,-0.957964,-1.986865,-inf,-inf,-6.526125,-5.478967,-8.488974,-7.921124,-0.49693,-inf,-6.43872,-7.154944,-7.073638,-9.35958,-7.888122,-inf,-4.57955,-2.041733,-inf,-6.605778,-9.487536,-10.20376,-inf,-inf,-5.213714,-6.864288,-5.542482,-inf,-0.266745,0.551918,-7.654607,-8.045957,-inf,-0.869497,-1.839753,-5.097913,-6.748487,1.125974,-8.229652,-2.083484,-3.936929,-inf,-inf,-inf,-5.602244,-9.413588,-6.778184,-inf,-2.816833,-3.566483,-4.500805,-2.21198,-inf,-4.118625,-5.769199,-6.485423,-inf,-4.91235,-6.562924,-inf,-inf,-6.046052,-2.915194,-3.414474,-3.805825,-inf,-6.011545,-7.66212,-7.10065,-6.071748,-inf,-1.39406,-6.999955,-inf,-7.686677,-8.402901,-2.482719,-inf,-5.609732,-inf,-6.353829,-5.638037,-5.00547,-4.904502,-5.163379,-1.219914,-5.862786,-7.51336,-inf,2.141256,-2.811239,3.172129,-1.881246,-3.53182,-6.000588,-inf,-7.651163,-6.869978,2.496782,0.846208,-6.525015,-8.175589,-inf,-7.16536,-7.881583,-2.243698,0.042244,-0.77224,-6.242836,-2.06335,2.089464
2324-1001713,-2.764972,-0.694099,-1.410323,-inf,-2.185211,-0.739336,-inf,-inf,-0.615144,-inf,-2.370608,-3.998839,-inf,-0.321001,-inf,-2.830783,-2.509172,-inf,-0.789896,-1.818797,-inf,-inf,-3.846556,-3.54971,-3.492501,-3.911649,-2.994468,-inf,-0.268716,-0.984939,-inf,-5.620642,-4.149184,-inf,-2.262818,13.412648,-inf,-4.465403,-4.725329,-5.441553,-inf,-inf,-inf,-3.225844,-1.966569,-inf,-2.074752,-3.016143,-2.323633,-2.714984,-inf,-3.142068,-3.960642,-inf,-2.990582,-2.011989,-inf,-1.524004,-3.377449,-inf,-inf,-inf,-4.363251,-4.003479,-2.85882,-inf,-3.034874,-1.226638,-2.0681,-1.314562,-inf,-inf,-3.116494,-3.832718,-inf,-inf,-0.64682,-inf,-inf,-3.127961,-1.915241,-3.814658,-4.206009,-inf,-inf,-4.066959,-4.431326,-3.402424,-inf,-1.43236,-3.724974,-inf,-3.27779,-3.994014,-0.877962,-inf,-2.619093,-inf,-2.586064,-3.116103,-2.671158,-4.655612,-2.392324,-2.345984,-inf,-4.280537,-inf,-2.98172,-1.75111,-1.842597,-inf,-4.040554,-inf,-inf,-3.328583,-3.48691,-inf,-2.554291,-inf,-4.480721,-inf,-1.914941,-2.631165,-3.010809,-inf,-1.53935,-2.984138,-3.321259,-inf
